taxonKey	nubKey	taxonID	scientificName	taxonomicStatus	acceptedKey	acceptedName	acceptedTaxonRank	acceptedClassKey	acceptedClass	acceptedKingdom
152545121	5360429	https://www.gbif.org/species/5360429	Trigonella caelesyriaca Boiss.	ACCEPTED	5360429	Trigonella caelesyriaca Boiss.	SPECIES	220	Magnoliopsida	Plantae
152545122	5360475	https://www.gbif.org/species/5360475	Trigonella foenum-graecum L.	ACCEPTED	5360475	Trigonella foenum-graecum L.	SPECIES	220	Magnoliopsida	Plantae
152545123	5360465	https://www.gbif.org/species/5360465	Trigonella arabica Delile	ACCEPTED	5360465	Trigonella arabica Delile	SPECIES	220	Magnoliopsida	Plantae
152545124	5360508	https://www.gbif.org/species/5360508	Trigonella maritima Delile ex Poir.	DOUBTFUL	5360508	Trigonella maritima Delile ex Poir.	SPECIES	220	Magnoliopsida	Plantae
152545125	5360498	https://www.gbif.org/species/5360498	Trigonella caerulea (L.) Ser.	ACCEPTED	5360498	Trigonella caerulea (L.) Ser.	SPECIES	220	Magnoliopsida	Plantae
152545126	5360523	https://www.gbif.org/species/5360523	Trigonella spinosa L.	ACCEPTED	5360523	Trigonella spinosa L.	SPECIES	220	Magnoliopsida	Plantae
152545127	5360415	https://www.gbif.org/species/5360415	Trigonella calliceras Fisch.	DOUBTFUL	5360415	Trigonella calliceras Fisch.	SPECIES	220	Magnoliopsida	Plantae
152545128	5360417	https://www.gbif.org/species/5360417	Trigonella stellata Forssk.	ACCEPTED	5360417	Trigonella stellata Forssk.	SPECIES	220	Magnoliopsida	Plantae
152545129	5360402	https://www.gbif.org/species/5360402	Trigonella procumbens (Besser) Rchb.	ACCEPTED	5360402	Trigonella procumbens (Besser) Rchb.	SPECIES	220	Magnoliopsida	Plantae
152545131	5345430	https://www.gbif.org/species/5345430	Astragalus oxyglottis Steven ex M.Bieb.	ACCEPTED	5345430	Astragalus oxyglottis Steven ex M.Bieb.	SPECIES	220	Magnoliopsida	Plantae
152545132	5345210	https://www.gbif.org/species/5345210	Astragalus stella L.	ACCEPTED	5345210	Astragalus stella L.	SPECIES	220	Magnoliopsida	Plantae
152545133	5344663	https://www.gbif.org/species/5344663	Astragalus boeticus L.	ACCEPTED	5344663	Astragalus boeticus L.	SPECIES	220	Magnoliopsida	Plantae
152545134	5344424	https://www.gbif.org/species/5344424	Astragalus cymbicarpos Brot.	ACCEPTED	5344424	Astragalus cymbicarpos Brot.	SPECIES	220	Magnoliopsida	Plantae
152545135	5343253	https://www.gbif.org/species/5343253	Astragalus cicer L.	ACCEPTED	5343253	Astragalus cicer L.	SPECIES	220	Magnoliopsida	Plantae
152545136	5356481	https://www.gbif.org/species/5356481	Lathyrus cicera L.	ACCEPTED	5356481	Lathyrus cicera L.	SPECIES	220	Magnoliopsida	Plantae
152545137	5342681	https://www.gbif.org/species/5342681	Astragalus hamosus L.	ACCEPTED	5342681	Astragalus hamosus L.	SPECIES	220	Magnoliopsida	Plantae
152545138	5342618	https://www.gbif.org/species/5342618	Astragalus onobrychis L.	ACCEPTED	5342618	Astragalus onobrychis L.	SPECIES	220	Magnoliopsida	Plantae
152545142	2982380	https://www.gbif.org/species/2982380	Vigna radiata (L.) R.Wilczek	ACCEPTED	2982380	Vigna radiata (L.) R.Wilczek	SPECIES	220	Magnoliopsida	Plantae
152545144	2977222	https://www.gbif.org/species/2977222	Ononis alopecuroides L.	ACCEPTED	2977222	Ononis alopecuroides L.	SPECIES	220	Magnoliopsida	Plantae
152545145	2977234	https://www.gbif.org/species/2977234	Ononis natrix L.	ACCEPTED	2977234	Ononis natrix L.	SPECIES	220	Magnoliopsida	Plantae
152545147	2975667	https://www.gbif.org/species/2975667	Galega officinalis L.	ACCEPTED	2975667	Galega officinalis L.	SPECIES	220	Magnoliopsida	Plantae
152545150	2972595	https://www.gbif.org/species/2972595	Onobrychis viciifolia Scop.	ACCEPTED	2972595	Onobrychis viciifolia Scop.	SPECIES	220	Magnoliopsida	Plantae
152545154	2971095	https://www.gbif.org/species/2971095	Melilotus albus Medik.	ACCEPTED	2971095	Melilotus albus Medik.	SPECIES	220	Magnoliopsida	Plantae
152545156	2971112	https://www.gbif.org/species/2971112	Melilotus sulcatus Desf.	ACCEPTED	2971112	Melilotus sulcatus Desf.	SPECIES	220	Magnoliopsida	Plantae
152545157	2971016	https://www.gbif.org/species/2971016	Melilotus indicus (L.) All.	ACCEPTED	2971016	Melilotus indicus (L.) All.	SPECIES	220	Magnoliopsida	Plantae
152545158	2971033	https://www.gbif.org/species/2971033	Melilotus infestus Guss.	ACCEPTED	2971033	Melilotus infestus Guss.	SPECIES	220	Magnoliopsida	Plantae
152545159	2971036	https://www.gbif.org/species/2971036	Melilotus elegans Salzm. ex Ser.	ACCEPTED	2971036	Melilotus elegans Salzm. ex Ser.	SPECIES	220	Magnoliopsida	Plantae
152545160	2971068	https://www.gbif.org/species/2971068	Melilotus wolgicus Poir.	ACCEPTED	2971068	Melilotus wolgicus Poir.	SPECIES	220	Magnoliopsida	Plantae
152545163	7068379	https://www.gbif.org/species/7068379	Vicia sativa subsp. sativa	ACCEPTED	7068379	Vicia sativa subsp. sativa	SUBSPECIES	220	Magnoliopsida	Plantae
152545165	7225471	https://www.gbif.org/species/7225471	Vicia villosa subsp. villosa	ACCEPTED	7225471	Vicia villosa subsp. villosa	SUBSPECIES	220	Magnoliopsida	Plantae
