taxonKey	taxonName	kingdom	year	em_status	dr_1	dr_2	dr_3	dr_4
2705290	Avena sativa L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705378	Eragrostis curvula (Schrad.) Nees	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705400	Eragrostis pilosa (L.) P.Beauv.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705401	Eragrostis multicaulis Steud.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2705449	Eragrostis minor Host	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705953	Eleusine indica (L.) Gaertn.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705966	Secale cereale L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2705972	Anthoxanthum aristatum Boiss.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2706026	Miscanthus sinensis Andersson	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2706056	Hordeum vulgare L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2715482	Cyperus eragrostis Lam.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2716226	Cyperus esculentus L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2717467	Eleocharis obtusa (Willd.) Schult.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2718377	Bolboschoenus planiculmis (F.Schmidt) T.V.Egorova	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2722515	Carex morrowii Boott	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2726538	Carex muskingumensis Schwein.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2739071	Trachycarpus fortunei (Hook.) H.Wendl.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2747564	Crocus tommasinianus Herb.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2747567	Crocus vernus (L.) Hill	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2747750	Crocus ×luteus Lam.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2747939	Crocosmia ×crocosmiiflora (Lemoine) N.E.Br.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2765272	Tradescantia virginiana L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2766030	Pontederia cordata L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2767271	Scilla luciliae (Boiss.) Speta	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2767275	Scilla forbesii (Baker) Speta	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2767428	Puschkinia scilloides Adams	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2772082	Muscari latifolium J.Kirk	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2772174	Muscari armeniacum Leichtlin ex Baker	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2772666	Hyacinthus orientalis L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2773281	Ornithogalum nutans L.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2773453	Ornithogalum divergens Boreau	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2775530	Yucca flaccida Haw.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2775619	Yucca gloriosa L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2781074	Hemerocallis fulva (L.) L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2781103	Hemerocallis lilioasphodelus L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2840931	Goodyera repens (L.) R.Br.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2855356	Galanthus nivalis L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2855398	Galanthus elwesii Hook.f.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2855439	Galanthus woronowii Losinsk.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2855705	Allium lusitanicum Lam.	Plantae	2022	1	FALSE	FALSE	FALSE	TRUE
2855860	Allium schoenoprasum L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2855893	Allium roseum L.	Plantae	2022	1	FALSE	FALSE	FALSE	TRUE
2856780	Allium cristophii Trautv.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2856920	Allium hollandicum R.M.Fritsch	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2857017	Allium paradoxum (M.Bieb.) G.Don	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2858581	Narcissus poeticus L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2859597	Ipheion uniflorum (Graham) Raf.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2865448	Elodea canadensis Michx.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2865565	Lagarosiphon major (Ridl.) Moss	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2867614	Lemna minuta Kunth	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2867631	Lemna turionifera Landolt	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2869311	Lysichiton americanus Hultén & H.St.John	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2869597	Sauromatum venosum (Dryand. ex Aiton) Kunth	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2873769	Acorus calamus L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2873861	Linum usitatissimum L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2873877	Linum austriacum L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2873926	Linum grandiflorum Desf.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2873991	Aristolochia clematitis L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2874508	Cucurbita pepo L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2874570	Cucumis melo L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2875968	Corylus colurna L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2876049	Corylus maxima Mill.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2876607	Alnus cordata (Loisel.) Duby	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2879098	Quercus ilex L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2879520	Quercus conferta Kit.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2880539	Quercus rubra L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2880580	Quercus cerris L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2882849	Vaccinium corymbosum L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888323	Clethra alnifolia L.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2888380	Eschscholzia californica Cham.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888435	Papaver bracteatum Lindl.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2888437	Papaver orientale L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888439	Papaver somniferum L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888513	Pseudofumaria lutea (L.) Borkh.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888553	Dicentra formosa (Andrews) Walp.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2888579	Leycesteria formosa Wall.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2888585	Viburnum tinus L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888625	Viburnum rhytidophyllum Hemsl. ex Forbes & Hemsl.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
2888740	Centranthus ruber (L.) DC.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2888797	Cephalaria gigantea (Ledeb.) Bobrov	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2888814	Dipsacus laciniatus L.	Plantae	2022	3	FALSE	TRUE	FALSE	TRUE
2888867	Rheum rhabarbarum L.	Plantae	2022	1	FALSE	FALSE	FALSE	FALSE
2889019	Rumex patientia L.	Plantae	2022	2	FALSE	TRUE	FALSE	FALSE
